Sample	Queue Length		Avg Waiting Time
1000	2		1.2434895169621996
2000	1		0.4867165915820806
3000	1		0.0
4000	0		0
5000	2		1.392885168945213
6000	0		0
7000	1		0.0
8000	1		1.4012231647357112
9000	1		0.6081584120001935
10000	0		0
11000	0		0
12000	0		0
13000	1		0.41403162836650154
14000	1		3.2172102717813686
15000	0		0
16000	2		0.8889388335228432
17000	0		0
18000	2		0.5012937545689056
19000	3		3.741622891626321
20000	0		0
21000	0		0
22000	1		0.34226189978653565
23000	1		0.0
24000	1		0.2930760473536793
25000	1		0.0
26000	2		1.510297522356268
27000	2		0.11852225454640575
28000	1		0.0
29000	0		0
30000	1		0.0
31000	0		0
32000	1		0.0
33000	1		0.0
34000	2		1.3519884307461325
35000	3		3.3311144989856984
36000	0		0
37000	0		0
38000	1		0.0
39000	2		2.163237101660343
40000	1		0.0
41000	0		0
42000	1		0.0
43000	0		0
44000	1		0.9815670937823597
45000	0		0
46000	0		0
47000	1		1.9077934063097928
48000	1		1.7127340999722946
49000	1		0.0
50000	0		0
51000	2		2.91323107588687
52000	0		0
53000	0		0
54000	0		0
55000	1		0.5376343904063106
56000	0		0
57000	0		0
58000	1		1.747962584166089
59000	1		0.8927365024865139
60000	2		0.5496072338428348
61000	1		0.0
62000	0		0
63000	2		1.3766208985471167
64000	0		0
65000	1		1.2451192311418708
66000	1		0.0
67000	0		0
68000	0		0
69000	0		0
70000	1		0.0
71000	1		0.0
72000	1		0.8413752036867663
73000	0		0
74000	1		0.0
75000	1		0.0
76000	0		0
77000	0		0
78000	1		0.0
79000	2		1.2997299990965985
80000	0		0
81000	2		1.3023905244772322
82000	0		0
83000	2		0.22774949739687145
84000	3		2.8642971394583583
85000	0		0
86000	0		0
87000	2		0.4385740727884695
88000	2		6.229563074652106
89000	0		0
90000	0		0
91000	1		0.0
92000	0		0
93000	0		0
94000	0		0
95000	2		3.215949118952267
96000	1		0.0
97000	1		0.0
98000	0		0
99000	0		0
100000	1		1.540515847504139
101000	2		1.718245098250918
102000	2		0.34608086838852614
103000	0		0
104000	0		0
105000	1		0.8049827219219878
106000	0		0
107000	1		0.0
108000	3		3.5163789142970927
109000	0		0
110000	1		0.0
111000	1		0.0
112000	2		3.4730473569361493
113000	0		0
114000	3		4.91845262638526
115000	2		1.1548501687939279
116000	0		0
117000	1		0.0
118000	1		1.9032829997013323
119000	1		0.0
120000	0		0
121000	2		0.7591573562240228
122000	1		0.0
123000	1		1.7537136796745472
124000	0		0
125000	0		0
126000	3		2.1571408519521356
127000	1		1.932155912683811
128000	0		0
129000	1		0.0
130000	1		0.0
131000	1		1.8516899513197131
132000	1		0.0
133000	1		0.0
134000	1		0.0
135000	3		3.25134759984212
136000	2		3.8545679012313485
137000	0		0
138000	1		0.0
139000	0		0
140000	1		0.0
141000	3		2.7682547450531274
142000	0		0
143000	1		0.0
144000	1		0.7394480311777443
145000	0		0
146000	1		1.3451820989139378
147000	1		0.0
148000	0		0
149000	1		0.0
150000	1		0.0
151000	0		0
152000	2		8.483583821100183
153000	0		0
154000	0		0
155000	1		3.8049461060436442
156000	2		6.190149086061865
157000	0		0
158000	0		0
159000	2		0.37780832685530186
160000	0		0
161000	0		0
162000	1		0.17187339265365154
163000	2		1.9995211774948984
164000	1		1.5024831187911332
165000	0		0
166000	1		0.0
167000	1		1.238496435340494
168000	1		0.0
169000	1		0.0
170000	0		0
171000	0		0
172000	1		0.7845435346243903
173000	0		0
174000	0		0
175000	1		1.6768746114103124
176000	1		2.114882815279998
177000	0		0
178000	1		4.261480551096611
179000	0		0
180000	0		0
181000	0		0
182000	1		0.0
183000	0		0
184000	0		0
185000	1		0.0
186000	0		0
187000	1		0.0
188000	0		0
189000	1		0.0
190000	1		0.0
191000	3		3.144267201772891
192000	1		0.0
193000	1		0.0
194000	0		0
195000	0		0
196000	1		0.0
197000	1		0.17653139249887317
198000	1		0.7913197482703254
199000	1		0.0
200000	1		0.0
201000	1		3.2253186559537426
202000	1		0.2122115259990096
203000	1		0.0
204000	3		1.233179048052989
205000	3		0.9511651772772893
206000	0		0
207000	0		0
208000	2		1.278544807457365
209000	1		0.10875556571409106
210000	1		1.1497757295146585
211000	0		0
212000	0		0
213000	0		0
214000	0		0
215000	1		0.9081695985514671
216000	1		0.8511261905077845
217000	0		0
218000	0		0
219000	0		0
220000	1		2.654487230000086
221000	1		1.1464199917390943
222000	0		0
223000	0		0
224000	1		2.437068729195744
225000	2		1.3233326773624867
226000	0		0
227000	2		0.3761426896089688
228000	1		0.0
229000	2		2.601359859108925
230000	2		0.8933048160979524
231000	0		0
232000	0		0
233000	0		0
234000	1		1.0091836389619857
235000	1		0.0
236000	1		1.2365331950131804
237000	1		0.0
238000	1		0.0
239000	0		0
240000	1		0.0
241000	0		0
242000	0		0
243000	0		0
244000	0		0
245000	2		0.4327489280840382
246000	1		0.0
247000	1		1.5205818198155612
248000	1		0.0
249000	0		0
250000	2		1.7298345585586503
251000	0		0
252000	0		0
253000	0		0
254000	2		0.49948672601021826
255000	1		2.32785491226241
256000	0		0
257000	0		0
258000	0		0
259000	0		0
260000	1		1.7943718027090654
261000	1		0.9302724471781403
262000	1		0.0
263000	2		3.2239585876232013
264000	2		4.70848574815318
265000	1		3.009186486597173
266000	2		1.3247292476007715
267000	0		0
268000	0		0
269000	0		0
270000	1		0.0
271000	3		2.963786310981959
272000	2		1.48197726032231
273000	1		0.8974032145924866
274000	1		0.3986495629651472
275000	1		1.0230122214416042
276000	1		0.7731079997029155
277000	1		0.38311607763171196
278000	0		0
